bath,bed,price,size,street,where
2.0,3.0,5150,1100.0,354 East 91st Street #1102,Yorkville
1.0,1.0,3395,850.0,354 East 91st Street #609,Yorkville
1.0,1.0,3424,950.0,784 Columbus Avenue #7D,Manhattan
1.0,1.0,3395,850.0,354 East 91st Street #609,Yorkville
1.0,1.0,3635,900.0,354 East 91st Street #1503,Yorkville
2.0,2.0,5000,1100.0,354 East 91st Street #2203,Yorkville
1.0,2.0,4245,863.0,354 East 91st Street #1204,Yorkville
1.0,1.0,4210,900.0,354 East 91st Street #1604,Yorkville
1.0,1.0,3075,550.0,354 East 91st Street #1702,Yorkville
1.0,1.0,3480,650.0,354 East 91st Street #1701,Yorkville
1.0,1.0,3495,650.0,354 East 91st Street #1901,Yorkville
1.0,2.0,4225,900.0,354 East 91st Street #1004,Yorkville
1.0,1.0,3535,650.0,354 East 91st Street #2101,Yorkville
1.0,1.5,3600,850.0,372 Central Park West #1H,Upper West Side
2.0,3.0,5015,1100.0,354 East 91st Street #202,Yorkville
2.0,3.0,5090,1100.0,354 East 91st Street #702,Yorkville
2.0,2.0,5200,995.0,250 North 10th #405,Williamsburg
2.0,2.0,5095,1047.0,250 North 10th #233,Williamsburg
2.0,2.0,4850,1000.0,250 North 10th #318,Williamsburg
1.0,1.0,3650,676.0,250 North 10th #439,Williamsburg
1.0,1.0,3675,677.0,250 North 10th #624,Williamsburg
1.0,1.0,3625,616.0,250 North 10th #515,Williamsburg
1.0,1.0,3725,682.0,250 North 10th #531,Williamsburg
1.0,1.0,3725,682.0,250 North 10th #531,Williamsburg
2.0,2.0,5260,829.0,15 Cliff Street #26D,Fulton/Seaport
1.0,1.0,3850,710.0,15 Cliff Street #20A,Fulton/Seaport
1.0,1.0,3665,688.0,15 Cliff Street #15A,Fulton/Seaport
1.0,1.0,3650,719.0,15 Cliff Street #17C,Fulton/Seaport
2.0,2.0,5280,939.0,15 Cliff Street #27F,Fulton/Seaport
1.0,1.0,3690,719.0,15 Cliff Street #21C,Fulton/Seaport
1.0,1.0,3950,688.0,15 Cliff Street #14A,Fulton/Seaport
